# timestamp,line
1619800814553,IN,siggen/room2/rhum,0
1619800814557,OUT,mavg/room2/rhum,0
1619800814557,IN,siggen/room1/rhum,0
1619800814600,OUT,mavg/room1/rhum,0
1619800814600,IN,siggen/room2/temp,0
1619800814601,OUT,mavg/room2/temp,0
1619800814601,IN,siggen/room1/temp,0
1619800814602,OUT,mavg/room1/temp,0
1619800815536,IN,siggen/room1/temp,1
1619800815537,OUT,mavg/room1/temp,1
1619800815537,IN,siggen/room1/rhum,1
1619800815539,OUT,mavg/room1/rhum,1
1619800815539,IN,siggen/room2/temp,1
1619800815540,OUT,mavg/room2/temp,1
1619800815541,IN,siggen/room2/rhum,1
1619800815588,OUT,mavg/room2/rhum,1
1619800816536,IN,siggen/room1/rhum,2
1619800816580,OUT,mavg/room1/rhum,2
1619800816580,IN,siggen/room1/temp,2
1619800816581,OUT,mavg/room1/temp,2
1619800816581,IN,siggen/room2/temp,2
1619800816582,OUT,mavg/room2/temp,2
1619800816582,IN,siggen/room2/rhum,2
1619800816583,OUT,mavg/room2/rhum,2
1619800817539,IN,siggen/room1/temp,3
1619800817541,OUT,mavg/room1/temp,3
1619800817541,IN,siggen/room1/rhum,3
1619800817542,OUT,mavg/room1/rhum,3
1619800817542,IN,siggen/room2/temp,3
1619800817543,OUT,mavg/room2/temp,3
1619800817543,IN,siggen/room2/rhum,3
1619800817544,OUT,mavg/room2/rhum,3
1619800818539,IN,siggen/room1/temp,4
1619800818584,OUT,mavg/room1/temp,4
1619800818584,IN,siggen/room1/rhum,4
1619800818584,OUT,mavg/room1/rhum,4
1619800818585,IN,siggen/room2/temp,4
1619800818585,OUT,mavg/room2/temp,4
1619800818585,IN,siggen/room2/rhum,4
1619800818586,OUT,mavg/room2/rhum,4
1619800819540,IN,siggen/room1/temp,5
1619800819541,OUT,mavg/room1/temp,5
1619800819541,IN,siggen/room1/rhum,5
1619800819542,OUT,mavg/room1/rhum,5
1619800819542,IN,siggen/room2/temp,5
1619800819543,OUT,mavg/room2/temp,5
1619800819544,IN,siggen/room2/rhum,5
1619800819544,OUT,mavg/room2/rhum,5
1619800820541,IN,siggen/room1/temp,6
1619800820542,OUT,mavg/room1/temp,6
1619800820542,IN,siggen/room1/rhum,6
1619800820544,OUT,mavg/room1/rhum,6
1619800820545,IN,siggen/room2/temp,6
1619800820545,OUT,mavg/room2/temp,6
1619800820545,IN,siggen/room2/rhum,6
1619800820588,OUT,mavg/room2/rhum,6
1619800821544,IN,siggen/room1/temp,7
1619800821588,OUT,mavg/room1/temp,7
1619800821588,IN,siggen/room1/rhum,7
1619800821590,OUT,mavg/room1/rhum,7
1619800821590,IN,siggen/room2/temp,7
1619800821592,OUT,mavg/room2/temp,7
1619800821592,IN,siggen/room2/rhum,7
1619800821592,OUT,mavg/room2/rhum,7
1619800822546,IN,siggen/room1/temp,8
1619800822548,OUT,mavg/room1/temp,8
1619800822549,IN,siggen/room1/rhum,8
1619800822550,OUT,mavg/room1/rhum,8
1619800822551,IN,siggen/room2/temp,8
1619800822552,OUT,mavg/room2/temp,8
1619800822553,IN,siggen/room2/rhum,8
1619800822555,OUT,mavg/room2/rhum,8
1619800823549,IN,siggen/room1/rhum,9
1619800823592,OUT,mavg/room1/rhum,9
1619800823592,IN,siggen/room1/temp,9
1619800823636,OUT,mavg/room1/temp,9
1619800823636,IN,siggen/room2/temp,9
1619800823637,OUT,mavg/room2/temp,9
1619800823637,IN,siggen/room2/rhum,9
1619800823638,OUT,mavg/room2/rhum,9
1619800824550,IN,siggen/room1/rhum,10
1619800824552,OUT,mavg/room1/rhum,10
1619800824553,IN,siggen/room1/temp,10
1619800824554,OUT,mavg/room1/temp,10
1619800824555,IN,siggen/room2/temp,10
1619800824557,OUT,mavg/room2/temp,10
1619800824558,IN,siggen/room2/rhum,10
1619800824600,OUT,mavg/room2/rhum,10
1619800825551,IN,siggen/room1/rhum,11
1619800825592,OUT,mavg/room1/rhum,11
1619800825593,IN,siggen/room2/temp,11
1619800825594,OUT,mavg/room2/temp,11
1619800825594,IN,siggen/room1/temp,11
1619800825596,OUT,mavg/room1/temp,11
1619800825596,IN,siggen/room2/rhum,11
1619800825597,OUT,mavg/room2/rhum,11
1619800826553,IN,siggen/room1/temp,12
1619800826555,OUT,mavg/room1/temp,12
1619800826556,IN,siggen/room1/rhum,12
1619800826557,OUT,mavg/room1/rhum,12
1619800826558,IN,siggen/room2/temp,12
1619800826601,OUT,mavg/room2/temp,12
1619800826602,IN,siggen/room2/rhum,12
1619800826603,OUT,mavg/room2/rhum,12
1619800827554,IN,siggen/room1/temp,13
1619800827600,OUT,mavg/room1/temp,13
1619800827600,IN,siggen/room1/rhum,13
1619800827601,OUT,mavg/room1/rhum,13
1619800827601,IN,siggen/room2/temp,13
1619800827602,OUT,mavg/room2/temp,13
1619800827602,IN,siggen/room2/rhum,13
1619800827602,OUT,mavg/room2/rhum,13
1619800828555,IN,siggen/room1/temp,14
1619800828555,OUT,mavg/room1/temp,14
1619800828555,IN,siggen/room1/rhum,14
1619800828556,OUT,mavg/room1/rhum,14
1619800828556,IN,siggen/room2/temp,14
1619800828557,OUT,mavg/room2/temp,14
1619800828557,IN,siggen/room2/rhum,14
1619800828557,OUT,mavg/room2/rhum,14
1619800829556,IN,siggen/room1/temp,15
