# timestamp,resident_bytes,total_bytes,system_millis,user_millis
1619800803851,2502656,10117120,0,0
1619800804171,2502656,10117120,0,0
1619800804437,2502656,10117120,0,0
1619800804709,2502656,10117120,0,0
1619800804949,2502656,10117120,0,0
1619800805198,2502656,10117120,0,0
1619800805459,2502656,10117120,0,0
1619800805720,2502656,10117120,0,0
1619800805968,2502656,10117120,0,0
1619800806231,2502656,10117120,0,0
1619800806496,2502656,10117120,0,0
1619800806755,2502656,10117120,0,0
1619800807015,2502656,10117120,0,0
1619800807284,2502656,10117120,0,0
1619800807527,2502656,10117120,0,0
1619800807787,2502656,10117120,0,0
1619800808055,2502656,10117120,0,0
1619800808296,2502656,10117120,0,0
1619800808559,2502656,10117120,0,0
1619800808821,2502656,10117120,0,0
1619800809074,2502656,10117120,0,0
1619800809309,2502656,10117120,0,0
1619800809568,2502656,10117120,0,0
1619800809833,2502656,10117120,0,0
1619800810094,2502656,10117120,0,0
1619800810356,2502656,10117120,0,0
1619800810623,2502656,10117120,0,0
1619800810883,2502656,10117120,0,0
1619800811146,2502656,10117120,0,0
1619800811411,2502656,10117120,0,0
1619800811672,2502656,10117120,0,0
1619800811933,2502656,10117120,0,0
1619800812195,2502656,10117120,0,0
1619800812453,2502656,10117120,0,0
1619800812712,2502656,10117120,0,0
1619800812973,2502656,10117120,0,0
1619800813240,2502656,10117120,0,0
1619800813501,2502656,10117120,0,0
1619800813764,2502656,10117120,0,0
1619800814009,2502656,10117120,0,0
1619800814244,2502656,10117120,0,0
1619800814506,2502656,10117120,0,0
1619800814762,2502656,10117120,0,0
1619800815075,2502656,10117120,0,0
1619800815340,2502656,10117120,0,0
1619800815581,2502656,10117120,0,0
1619800815822,2502656,10117120,0,0
1619800816057,2502656,10117120,0,0
1619800816292,2502656,10117120,0,0
1619800816532,2502656,10117120,0,0
1619800816796,2502656,10117120,0,0
1619800817058,2502656,10117120,0,0
1619800817319,2502656,10117120,0,0
1619800817572,2502656,10117120,0,0
1619800817835,2502656,10117120,0,0
1619800818088,2502656,10117120,0,0
1619800818331,2502656,10117120,0,0
1619800818584,2502656,10117120,0,0
1619800818830,2502656,10117120,0,0
1619800819080,2502656,10117120,0,0
1619800819329,2502656,10117120,0,0
1619800819569,2502656,10117120,0,0
1619800819806,2502656,10117120,0,0
1619800820058,2502656,10117120,0,0
1619800820298,2502656,10117120,0,0
1619800820565,2502656,10117120,0,0
1619800820840,2502656,10117120,0,0
1619800821089,2502656,10117120,0,0
1619800821351,2502656,10117120,0,0
1619800821610,2502656,10117120,0,0
1619800821856,2502656,10117120,0,0
1619800822118,2502656,10117120,0,0
1619800822381,2502656,10117120,0,0
1619800822617,2502656,10117120,0,0
1619800822857,2502656,10117120,0,0
1619800823099,2502656,10117120,0,0
1619800823344,2502656,10117120,0,0
1619800823604,2502656,10117120,0,0
1619800823839,2502656,10117120,0,0
1619800824101,2502656,10117120,0,0
1619800824362,2502656,10117120,0,0
1619800824620,2502656,10117120,0,0
1619800824888,2502656,10117120,0,0
1619800825150,2502656,10117120,0,0
1619800825390,2502656,10117120,0,0
1619800825635,2502656,10117120,0,0
1619800825895,2502656,10117120,0,0
1619800826155,2502656,10117120,0,0
1619800826418,2502656,10117120,0,0
1619800826686,2502656,10117120,0,0
1619800826976,2502656,10117120,0,0
1619800827242,2502656,10117120,0,0
1619800827501,2502656,10117120,0,0
1619800827746,2502656,10117120,0,0
1619800828007,2502656,10117120,0,0
1619800828252,2502656,10117120,0,0
1619800828503,2502656,10117120,0,0
1619800828760,2502656,10117120,0,0
1619800829020,2502656,10117120,0,0
1619800829283,2502656,10117120,0,0
1619800829543,2502656,10117120,0,0
1619800829799,2502656,10117120,0,0
1619800830061,2502656,10117120,0,0
1619800830324,2502656,10117120,0,0
1619800830588,2502656,10117120,0,0
1619800830852,2502656,10117120,0,0
