# timestamp,resident_bytes,total_bytes,system_millis,user_millis
1619800794553,2486272,10117120,0,0
1619800794896,2486272,10117120,0,0
1619800795159,2486272,10117120,0,0
1619800795418,2486272,10117120,0,0
1619800795658,2486272,10117120,0,0
1619800795897,2486272,10117120,0,0
1619800796147,2486272,10117120,0,0
1619800796400,2486272,10117120,0,0
1619800796657,2486272,10117120,0,0
1619800796917,2486272,10117120,0,0
1619800797184,2486272,10117120,0,0
1619800797441,2486272,10117120,0,0
1619800797704,2486272,10117120,0,0
1619800797969,2486272,10117120,0,0
1619800798229,2486272,10117120,0,0
1619800798493,2486272,10117120,0,0
1619800798756,2486272,10117120,0,0
1619800799002,2486272,10117120,0,0
1619800799264,2486272,10117120,0,0
1619800799529,2486272,10117120,0,0
1619800799797,2486272,10117120,0,0
1619800800059,2486272,10117120,0,0
1619800800322,2486272,10117120,0,0
1619800800587,2486272,10117120,0,0
1619800800843,2486272,10117120,0,0
1619800801078,2486272,10117120,0,0
1619800801314,2486272,10117120,0,0
1619800801569,2486272,10117120,0,0
1619800801831,2486272,10117120,0,0
1619800802095,2486272,10117120,0,0
1619800802364,2486272,10117120,0,0
1619800802625,2486272,10117120,0,0
1619800802889,2486272,10117120,0,0
1619800803153,2486272,10117120,0,0
1619800803412,2486272,10117120,0,0
1619800803663,2486272,10117120,0,0
1619800803907,2486272,10117120,0,0
1619800804159,2486272,10117120,0,0
1619800804412,2486272,10117120,0,0
1619800804677,2486272,10117120,0,0
1619800804935,2486272,10117120,0,0
1619800805192,2486272,10117120,0,0
1619800805453,2486272,10117120,0,0
1619800805720,2486272,10117120,0,0
1619800805967,2486272,10117120,0,0
1619800806230,2486272,10117120,0,0
1619800806496,2486272,10117120,0,0
1619800806752,2486272,10117120,0,0
1619800807014,2486272,10117120,0,0
1619800807279,2486272,10117120,0,0
1619800807527,2486272,10117120,0,0
1619800807787,2486272,10117120,0,0
1619800808052,2486272,10117120,0,0
1619800808296,2486272,10117120,0,0
1619800808559,2486272,10117120,0,0
1619800808821,2486272,10117120,0,0
1619800809070,2486272,10117120,0,0
1619800809306,2486272,10117120,0,0
1619800809567,2486272,10117120,0,0
1619800809831,2486272,10117120,0,0
1619800810094,2486272,10117120,0,0
1619800810356,2486272,10117120,0,0
1619800810620,2486272,10117120,0,0
1619800810883,2486272,10117120,0,0
1619800811146,2486272,10117120,0,0
1619800811409,2486272,10117120,0,0
1619800811672,2486272,10117120,0,0
1619800811933,2486272,10117120,0,0
1619800812195,2486272,10117120,0,0
1619800812451,2486272,10117120,0,0
1619800812712,2486272,10117120,0,0
1619800812974,2486272,10117120,0,0
1619800813238,2486272,10117120,0,0
