# timestamp,line
1619802309436,IN,siggen/room2/rhum,15
1619802309436,OUT,mavg/room2/rhum,15
1619802309893,IN,siggen/room1/temp,16
1619802309936,OUT,mavg/room1/temp,16
1619802309937,IN,siggen/room1/rhum,16
1619802309938,OUT,mavg/room1/rhum,16
1619802309939,IN,siggen/room2/temp,16
1619802309940,OUT,mavg/room2/temp,16
1619802309941,IN,siggen/room2/rhum,16
1619802309942,OUT,mavg/room2/rhum,16
1619802310395,IN,siggen/room1/temp,17
1619802310441,OUT,mavg/room1/temp,17
1619802310441,IN,siggen/room1/rhum,17
1619802310443,OUT,mavg/room1/rhum,17
1619802310443,IN,siggen/room2/temp,17
1619802310445,OUT,mavg/room2/temp,17
1619802310446,IN,siggen/room2/rhum,17
1619802310489,OUT,mavg/room2/rhum,17
1619802310895,IN,siggen/room1/temp,18
1619802310896,OUT,mavg/room1/temp,18
1619802310896,IN,siggen/room1/rhum,18
1619802310896,OUT,mavg/room1/rhum,18
1619802310896,IN,siggen/room2/temp,18
1619802310897,OUT,mavg/room2/temp,18
1619802310897,IN,siggen/room2/rhum,18
1619802310897,OUT,mavg/room2/rhum,18
1619802311398,IN,siggen/room1/temp,19
1619802311440,OUT,mavg/room1/temp,19
1619802311441,IN,siggen/room2/rhum,19
1619802311443,OUT,mavg/room2/rhum,19
1619802311443,IN,siggen/room1/rhum,19
1619802311445,OUT,mavg/room1/rhum,19
1619802311446,IN,siggen/room2/temp,19
1619802311489,OUT,mavg/room2/temp,19
1619802311899,IN,siggen/room1/temp,20
1619802311899,OUT,mavg/room1/temp,20
1619802311899,IN,siggen/room1/rhum,20
1619802311900,OUT,mavg/room1/rhum,20
1619802311900,IN,siggen/room2/rhum,20
1619802311900,OUT,mavg/room2/rhum,20
1619802311901,IN,siggen/room2/temp,20
1619802311901,OUT,mavg/room2/temp,20
1619802312400,IN,siggen/room1/temp,21
1619802312400,OUT,mavg/room1/temp,21
1619802312400,IN,siggen/room2/rhum,21
1619802312444,OUT,mavg/room2/rhum,21
1619802312445,IN,siggen/room1/rhum,21
1619802312446,OUT,mavg/room1/rhum,21
1619802312447,IN,siggen/room2/temp,21
1619802312448,OUT,mavg/room2/temp,21
1619802312901,IN,siggen/room2/rhum,22
1619802312944,OUT,mavg/room2/rhum,22
1619802312944,IN,siggen/room1/rhum,22
1619802312945,OUT,mavg/room1/rhum,22
1619802312945,IN,siggen/room2/temp,22
1619802312946,OUT,mavg/room2/temp,22
1619802312946,IN,siggen/room1/temp,22
1619802312947,OUT,mavg/room1/temp,22
1619802313404,IN,siggen/room1/temp,23
1619802313405,OUT,mavg/room1/temp,23
1619802313406,IN,siggen/room2/rhum,23
1619802313449,OUT,mavg/room2/rhum,23
1619802313450,IN,siggen/room1/rhum,23
1619802313452,OUT,mavg/room1/rhum,23
1619802313452,IN,siggen/room2/temp,23
1619802313455,OUT,mavg/room2/temp,23
1619802313906,IN,siggen/room1/temp,24
1619802313948,OUT,mavg/room1/temp,24
1619802313949,IN,siggen/room2/temp,24
1619802313951,OUT,mavg/room2/temp,24
1619802313951,IN,siggen/room2/rhum,24
1619802313953,OUT,mavg/room2/rhum,24
1619802313953,IN,siggen/room1/rhum,24
1619802313997,OUT,mavg/room1/rhum,24
1619802314407,IN,siggen/room1/temp,25
1619802314409,OUT,mavg/room1/temp,25
1619802314409,IN,siggen/room2/rhum,25
1619802314411,OUT,mavg/room2/rhum,25
1619802314411,IN,siggen/room1/rhum,25
1619802314413,OUT,mavg/room1/rhum,25
1619802314413,IN,siggen/room2/temp,25
1619802314456,OUT,mavg/room2/temp,25
1619802314910,IN,siggen/room1/temp,26
1619802314952,OUT,mavg/room1/temp,26
1619802314952,IN,siggen/room1/rhum,26
1619802314953,OUT,mavg/room1/rhum,26
1619802314953,IN,siggen/room2/rhum,26
1619802314953,OUT,mavg/room2/rhum,26
1619802314953,IN,siggen/room2/temp,26
1619802314954,OUT,mavg/room2/temp,26
1619802315412,IN,siggen/room1/temp,27
1619802315413,OUT,mavg/room1/temp,27
1619802315414,IN,siggen/room1/rhum,27
1619802315415,OUT,mavg/room1/rhum,27
1619802315416,IN,siggen/room2/temp,27
1619802315417,OUT,mavg/room2/temp,27
1619802315418,IN,siggen/room2/rhum,27
1619802315420,OUT,mavg/room2/rhum,27
1619802315912,IN,siggen/room2/temp,28
1619802315956,OUT,mavg/room2/temp,28
1619802315956,IN,siggen/room1/temp,28
1619802316000,OUT,mavg/room1/temp,28
1619802316000,IN,siggen/room1/rhum,28
1619802316001,OUT,mavg/room1/rhum,28
1619802316001,IN,siggen/room2/rhum,28
1619802316001,OUT,mavg/room2/rhum,28
1619802316414,IN,siggen/room1/temp,29
1619802316416,OUT,mavg/room1/temp,29
1619802316417,IN,siggen/room2/rhum,29
1619802316418,OUT,mavg/room2/rhum,29
1619802316418,IN,siggen/room2/temp,29
1619802316419,OUT,mavg/room2/temp,29
1619802316419,IN,siggen/room1/rhum,29
